case_,date_of_occurrence,block,_primary_decsription,fbi_cd,_secondary_description,ward,_location_description,domestic,beat,_iucr,arrest,:@computed_region_43wa_7qmu,location,y_coordinate,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k
JF238175,2022-05-11T11:25:00.000,002XX W MADISON ST,THEFT,06,RETAIL THEFT,42,DRUG STORE,N,122,0860,N,,,,,,,,,,
JF228949,2022-04-25T12:00:00.000,010XX W DIVERSEY PKWY,THEFT,06,FROM BUILDING,44,RESIDENCE - GARAGE,N,1933,0890,N,,,,,,,,,,
JF293270,2022-06-24T01:00:00.000,054XX S Ingleside Ave,THEFT,06,OVER $500,5,STREET,N,233,0810,N,,,,,,,,,,
JF361213,2022-08-16T09:00:00.000,013XX W FULTON ST,THEFT,06,OVER $500,27,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1215,0810,N,,,,,,,,,,
JF322873,2022-07-16T12:20:00.000,015XX N milwaukee ave,THEFT,06,RETAIL THEFT,1,SMALL RETAIL STORE,N,1424,0860,N,,,,,,,,,,
JF349909,2022-08-06T13:00:00.000,007XX W 14TH ST,THEFT,06,FROM BUILDING,25,APARTMENT,N,1232,0890,N,,,,,,,,,,
JF462937,2022-11-03T19:00:00.000,031XX S ASHLAND AVE,THEFT,06,RETAIL THEFT,12,SMALL RETAIL STORE,N,912,0860,N,,,,,,,,,,
JF255983,2022-05-24T22:00:00.000,014XX W 15TH ST,THEFT,06,OVER $500,28,APARTMENT,N,1233,0810,N,,,,,,,,,,
JG139874,2023-02-02T21:00:00.000,007XX W FULTON MARKET,THEFT,06,$500 AND UNDER,42,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1214,0820,N,36.0,"{'latitude': '41.886801163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.64591996'}",1902090.0,41.886801163,41.0,1171429.0,-87.64591996,784.0,4452.0,29.0
JF222888,2022-04-21T23:59:00.000,019XX N MILWAUKEE AVE,THEFT,06,OVER $500,1,APARTMENT,N,1434,0810,N,,,,,,,,,,
JF248910,2022-05-19T12:15:00.000,006XX N ST CLAIR ST,THEFT,06,OVER $500,42,STREET,N,1834,0810,N,,,,,,,,,,
JG178630,2023-03-08T14:43:00.000,039XX W MADISON ST,ASSAULT,08A,SIMPLE,28,STREET,Y,1122,0560,N,23.0,"{'latitude': '41.880751096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.723855981'}",1899725.0,41.880751096,11.0,1150223.0,-87.723855981,658.0,21572.0,27.0
JG179348,2023-03-08T01:40:00.000,075XX N SHERIDAN RD,THEFT,06,OVER $500,49,APARTMENT,N,2422,0810,N,5.0,"{'latitude': '42.018616136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.665846396'}",1950081.0,42.018616136,3.0,1165629.0,-87.665846396,357.0,21853.0,10.0
JF283073,2022-06-16T10:02:00.000,060XX N SHERIDAN RD,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,48,,N,2433,1153,N,,,,,,,,,,
JF273005,2022-06-08T18:32:00.000,098XX S UNION AVE,THEFT,06,$500 AND UNDER,34,RESIDENCE - PORCH / HALLWAY,N,2223,0820,N,,,,,,,,,,
JF345946,2022-08-05T21:30:00.000,014XX S MUSEUM CAMPUS DR,BATTERY,08B,SIMPLE,4,SPORTS ARENA / STADIUM,N,132,0460,N,,,,,,,,,,
JF326891,2022-07-14T16:00:00.000,006XX N MICHIGAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,42,,N,1834,1153,N,,,,,,,,,,
JF235836,2022-05-09T08:15:00.000,027XX N HARDING AVE,THEFT,06,$500 AND UNDER,31,STREET,N,2524,0820,N,,,,,,,,,,
JF264741,2022-06-02T10:15:00.000,014XX S MUSEUM CAMPUS DR,CRIMINAL TRESPASS,26,TO LAND,4,SPORTS ARENA / STADIUM,N,132,1330,N,,,,,,,,,,
JF288171,2022-06-17T17:35:00.000,041XX N MONTICELLO AVE,THEFT,06,$500 AND UNDER,35,RESIDENCE - PORCH / HALLWAY,N,1723,0820,N,,,,,,,,,,
JF309572,2022-07-07T15:25:00.000,0000X W 99TH ST,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,9,,N,511,1153,N,,,,,,,,,,
JF261838,2022-05-31T03:50:00.000,017XX W 81ST ST,THEFT,06,OVER $500,21,STREET,N,611,0810,N,,,,,,,,,,
JF265016,2022-06-02T12:45:00.000,002XX W LAKE ST,THEFT,06,POCKET-PICKING,42,RESTAURANT,N,122,0870,N,,,,,,,,,,
JF358815,2022-08-15T11:30:00.000,004XX S STATE ST,THEFT,06,OVER $500,4,LIBRARY,N,113,0810,N,,,,,,,,,,
JF344126,2022-08-01T19:14:00.000,006XX N LA SALLE DR,THEFT,06,RETAIL THEFT,42,SMALL RETAIL STORE,N,1832,0860,N,,,,,,,,,,
JF310811,2022-07-06T12:10:00.000,009XX W WINONA ST,THEFT,06,OVER $500,48,VEHICLE NON-COMMERCIAL,N,2024,0810,N,,,,,,,,,,
JF251266,2022-05-21T14:15:00.000,049XX W JACKSON BLVD,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,28,,N,1533,1153,N,,,,,,,,,,
JF463363,2022-11-03T21:00:00.000,025XX N ELSTON AVE,THEFT,06,RETAIL THEFT,1,DEPARTMENT STORE,N,1432,0860,N,,,,,,,,,,
JG184210,2023-02-06T00:00:00.000,047XX S KOLIN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT $300 AND UNDER,14,STREET,N,815,1154,N,8.0,"{'latitude': '41.806858653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.732123746'}",1872783.0,41.806858653,35.0,1148160.0,-87.732123746,697.0,22248.0,54.0
JF345197,2022-08-03T12:25:00.000,059XX N ST LOUIS AVE,CRIMINAL DAMAGE,14,TO VEHICLE,39,RESIDENCE,N,1711,1320,N,,,,,,,,,,
JF349894,2022-08-08T02:52:00.000,010XX W OAKDALE AVE,THEFT,06,$500 AND UNDER,44,ALLEY,N,1933,0820,N,,,,,,,,,,
JF245204,2022-05-17T05:42:00.000,0000X W CONGRESS PKWY,THEFT,06,RETAIL THEFT,4,CONVENIENCE STORE,N,113,0860,N,,,,,,,,,,
JF278191,2022-05-03T14:25:00.000,023XX W MC LEAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,32,,N,1432,1153,N,,,,,,,,,,
JF239187,2022-05-10T10:25:00.000,011XX W JACKSON BLVD,THEFT,06,RETAIL THEFT,25,DEPARTMENT STORE,N,1232,0860,N,,,,,,,,,,
JF394023,2022-09-11T01:00:00.000,0000X W HUBBARD ST,THEFT,06,OVER $500,42,BAR OR TAVERN,N,1831,0810,N,,,,,,,,,,
JF221497,2022-04-15T10:00:00.000,001XX W MADISON ST,DECEPTIVE PRACTICE,11,FRAUD OR CONFIDENCE GAME,42,ATM (AUTOMATIC TELLER MACHINE),N,122,1130,N,,,,,,,,,,
JF229965,2022-04-28T06:00:00.000,001XX S MAYFIELD AVE,THEFT,06,OVER $500,29,RESIDENCE - YARD (FRONT / BACK),N,1513,0810,N,,,,,,,,,,
JF347411,2022-07-31T15:05:00.000,003XX E RANDOLPH ST,THEFT,06,POCKET-PICKING,42,PARK PROPERTY,N,114,0870,N,,,,,,,,,,
JF271641,2022-06-04T23:40:00.000,006XX N WELLS ST,THEFT,06,OVER $500,42,BAR OR TAVERN,N,1832,0810,N,,,,,,,,,,
JF351865,2022-08-09T10:00:00.000,041XX S LAKE SHORE DR SB,THEFT,06,$500 AND UNDER,4,OTHER (SPECIFY),N,214,0820,N,,,,,,,,,,
JG178911,2023-03-08T20:24:00.000,025XX W CULLERTON ST,CRIMINAL TRESPASS,26,TO LAND,24,OTHER RAILROAD PROPERTY / TRAIN DEPOT,N,1023,1330,Y,14.0,"{'latitude': '41.854762866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.689136226'}",1890324.0,41.854762866,11.0,1159749.0,-87.689136226,203.0,14920.0,32.0
JG165628,2022-04-14T12:00:00.000,062XX N WINTHROP AVE,DECEPTIVE PRACTICE,10,FORGERY,48,RESIDENCE,N,2433,1120,N,,,,,,,,,,
JG157973,2023-02-19T03:14:00.000,0000X E 21ST ST,BURGLARY,05,UNLAWFUL ENTRY,3,COMMERCIAL / BUSINESS OFFICE,N,131,0620,N,9.0,"{'latitude': '41.854273371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.624663171'}",1890284.0,41.854273371,48.0,1177315.0,-87.624663171,374.0,21194.0,34.0
JF241759,2022-05-10T09:00:00.000,0000X E RIVERWALK S,THEFT,06,PURSE-SNATCHING,42,BAR OR TAVERN,N,111,0880,N,,,,,,,,,,
JF288070,2022-06-18T10:00:00.000,0000X E RANDOLPH ST,THEFT,06,OVER $500,42,RESTAURANT,N,111,0810,N,,,,,,,,,,
JF352396,2022-06-20T17:00:00.000,004XX N MC CLURG CT,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,42,RESTAURANT,N,1834,1150,N,,,,,,,,,,
JF342322,2022-08-01T21:10:00.000,022XX W MAYPOLE AVE,THEFT,06,$500 AND UNDER,27,RESIDENCE - YARD (FRONT / BACK),N,1223,0820,N,,,,,,,,,,
JF343808,2022-08-01T09:00:00.000,002XX N KEYSTONE AVE,THEFT,06,$500 AND UNDER,28,RESIDENCE,N,1114,0820,N,,,,,,,,,,
JF366010,2022-08-16T08:05:00.000,030XX S DR MARTIN LUTHER KING JR DR,THEFT,06,$500 AND UNDER,4,APARTMENT,N,133,0820,N,,,,,,,,,,
JF239298,2022-05-11T19:30:00.000,0000X W TERMINAL ST,THEFT,06,OVER $500,41,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,N,1651,0810,N,,,,,,,,,,
JF214477,2022-04-15T00:00:00.000,055XX S CORNELL AVE,CRIMINAL DAMAGE,14,TO VEHICLE,5,STREET,N,235,1320,N,,,,,,,,,,
JF359963,2022-08-14T00:00:00.000,011XX S MICHIGAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,4,,N,123,1153,N,,,,,,,,,,
JF358861,2022-08-15T10:20:00.000,006XX W ADAMS ST,CRIMINAL DAMAGE,14,TO VEHICLE,42,PARKING LOT / GARAGE (NON RESIDENTIAL),N,121,1320,N,,,,,,,,,,
